temp;wind;rh;precip;fire
19,0635;27,807;75,0503;8,7377;0
23,2385;27,4498;57,5175;0,0252;0
25,6747;27,7732;52,1641;0,0017;0
26,1557;27,7178;46,6987;5,4383;0
21,6904;27,5885;59,4626;1,76;0
23,6379;27,6239;52,723;1,0989;0
21,3225;27,6686;50,429;10,8943;0
20,2082;28,2671;55,9008;0,7643;0
22,3444;28,6926;47,7249;0,0082;1
23,2553;28,6894;45,7699;0,0023;1
23,7933;28,1443;43,8119;0,0024;1
24,0256;28,0789;45,8986;0,0639;1
25,7397;28,6499;48,6338;0,1254;1
25,6676;28,5154;42,4524;1,0417;1
27,0425;27,7181;46,8932;0,8811;1
24,6198;27,6614;48,1651;3,6527;0
24,8223;27,568;46,3856;0,0923;1
23,3195;27,7664;43,1058;0,0255;1
24,0445;28,0505;45,6487;0,4306;1
24,7376;27,5981;48,9056;0,01;1
24,1852;27,3338;47,6292;0,0022;1
24,7321;27,5878;49,8489;0,5266;1
25,1052;27,751;41,0013;0,0037;1
26,343;27,4594;41,5765;0,0012;1
27,667;27,5612;38,4438;0,0119;1
24,6774;27,8315;53,3641;0,0036;1
27,0923;27,263;44,2973;0,0006;1
28,8189;26,813;39,3768;0,0389;1
24,3503;26,7429;52,0699;1,9949;1
19,1143;27,1606;43,0233;0,6731;1
19,6751;27,953;50,4413;22,9376;0
14,4777;28,4787;50,3474;0,9734;0
15,6145;28,7526;45,8938;0,033;1
18,0491;28,6528;42,5752;0,0361;1
19,3801;28,7228;42,4535;0,4579;1
19,8292;28,9499;48,4141;0,0667;1
16,576;28,739;52,2607;0,074;1
15,6973;28,2727;69,6386;5,1166;0
21,2467;27,7658;52,0651;0,5197;1
21,4237;27,345;58,9938;4,4794;0
20,5717;26,7313;53,925;7,5692;0
16,9143;26,8549;63,3029;26,7228;0
17,2998;27,0328;69,3464;2,9477;0
19,0169;27,4116;53,8777;3,3924;0
19,2498;27,8088;55,0108;0,4888;0
17,9496;28,1666;54,9096;1,9777;0
20,7302;28,4288;51,1374;0,0802;1
21,3715;28,3876;49,2027;0,107;1
20,4421;28,0814;59,8808;4,7239;0
20,1658;27,9668;66,7145;4,3099;0
18,8863;27,5425;59,6109;51,051;0
16,3647;27,1653;55,1485;0,0008;0
18,5912;27,2193;48,0792;0,0075;0
18,3042;28,1993;56,1164;0,0006;0
19,3573;28,8652;55,2529;0,0022;1
18,8528;28,4245;53,4583;1,6808;0
14,9742;27,5332;67,5109;41,8549;0
14,1522;27,3899;73,8484;15,3566;0
14,9583;27,4926;65,6242;0,1508;0
16,5285;27,8782;51,1555;0,3161;0
13,9749;27,8775;65,7871;2,1979;0
14,2412;27,8338;56,2536;1,1391;0
13,7274;27,7673;59,3345;0,4514;0
15,4429;27,7165;55,1418;0,07;0
16,3357;28,0942;61,1116;0,0911;0
16,4958;28,7556;60,5099;0,6359;0
16,2433;28,7736;67,4159;21,6139;0
15,0004;27,932;68,8507;3,3946;0
13,9644;28,0476;52,1748;0,0159;0
12,4607;28,586;56,9053;0,0095;0
11,4803;28,3256;50,8042;0,0031;0
12,6435;28,0827;53,7722;0,0007;0
12,6356;27,4582;58,2757;2,6023;0
14,8028;27,1446;65,4839;0,0464;0
14,1443;26,7888;68,3887;4,0834;0
10,219;26,948;82,9389;6,8632;0
10,9993;27,2221;76,2628;0,425;0
9,5908;27,184;71,8327;4,9229;0
11,6405;27,8631;69,6548;3,4396;0
12,6999;28,1401;70,5923;1,8576;0
9,7732;27,5493;86,2246;9,7338;0
8,722;26,8334;70,2933;0,6238;0
9,8766;26,6987;46,4338;0,0018;0
12,809;27,3108;44,2296;0,0024;0
14,2833;27,3444;50,0116;0,8847;0
11,1705;27,0783;63,6921;7,142;0
16,478;26,917;49,7006;47,1105;0
7,6927;27,1878;76,2342;12,5804;0
8,5395;28,0483;66,5895;9,5222;0
11,0522;28,6551;57,7278;0,0321;0
10,9864;28,6665;54,6434;0,023;0
12,0962;28,9414;55,1894;0,0085;0
13,696;28,5348;60,923;0,4722;0
11,7496;28,0741;62,4008;2,4427;0
14,0209;27,3549;60,1931;12,1914;0
11,4579;26,9044;65,6488;1,4549;0
14,4981;26,9104;58,2871;0,0329;0
14,3995;27,264;57,7042;0,0006;0
14,5445;27,3521;48,3487;0,0011;0
12,7482;28,16;56,1376;3,9093;0
10,0203;28,4439;54,08;42,9576;0
7,8495;28,2677;79,3889;36,5414;0
8,821;27,9764;68,5454;34,1341;0
10,4499;27,6825;59,149;1,422;0
10,6833;27,2904;53,2949;1,0945;0
12,6435;26,8736;59,5323;0,0633;0
12,217;26,6772;60,5288;0,0085;0
13,7434;27,1134;53,7629;0,0069;0
11,909;27,1624;54,1735;5,6575;0
6,2412;26,8197;45,3781;20,8391;0
8,5215;26,191;66,012;4,8183;0
6,9662;25,8218;64,6777;12,8828;0
9,9004;25,9829;53,0105;0,4237;0
7,3877;26,4023;75,2165;4,6071;0
5,5248;26,8304;57,1929;77,3685;0
3,3849;26,7048;69,9176;26,6725;0
3,5945;26,9256;64,7269;4,0188;0
3,3517;27,1977;68,0168;5,4703;0
3,1281;27,1411;54,4202;12,6633;0
2,7917;27,0593;66,034;0,8319;0
5,2735;27,2053;63,903;30,5857;0
6,0321;27,6554;72,0294;15,6461;0
3,4326;27,8431;72,6421;22,8791;0
8,5077;27,4775;40,4947;20,7166;0
4,7892;27,3099;65,2371;13,9519;0
1,6043;27,6648;69,3515;18,1175;0
1,6311;27,6283;73,1972;2,212;0
3,2253;27,1977;53,8946;3,5539;0
9,5777;27,717;66,0149;12,9689;0
7,1745;27,991;71,1891;9,8761;0
8,827;27,9062;62,8497;8,3666;0
4,5311;27,6354;79,6843;14,6212;0
-2,5589;27,3234;83,7153;4,502;0
-1,0613;26,7901;73,2271;1,3909;0
-1,7948;26,6144;77,2969;11,9557;0
0,0651;26,734;63,3548;1,4696;0
-5,499;27,0475;75,518;0,0023;0
-3,8053;27,3473;66,7749;0,3851;0
-4,9565;27,1271;65,2274;0,3792;0
-2,4769;27,0867;73,7886;10,4222;0
-1,7951;26,9436;77,792;12,8964;0
1,2341;26,8398;66,7207;9,2844;0
3,347;26,5556;74,6186;2,1357;0
4,1712;26,4622;58,7529;4,8276;0
7,6836;26,8745;58,2742;31,5692;0
5,2145;27,27;70,5135;17,4161;0
4,6023;27,346;67,125;19,7377;0
-0,9782;27,2352;86,9041;6,3674;0
-4,2968;27,4748;56,9841;3,1838;0
