Mjeseci;RelVlaznost;TempZraka;Padavine24;BrzinaVjetraKMh
7;75,0502625;19,0634708;8,73765945;27,80698
8;57,5174522;23,2385197;0,025189111;27,44982
8;52,1640816;25,6747074;0,001661544;27,77324
8;46,6986771;26,1556644;5,4383316;27,71780
8;59,4625931;21,6903629;1,75996995;27,58852
8;52,7229958;23,6379337;1,09892297;27,62386
8;50,4289703;21,3224735;10,89429;27,66859
8;55,9007759;20,2082462;0,76430583;28,26709
8;47,7249184;22,3444462;0,008183364;28,69256
8;45,7699394;23,2553349;0,002286822;28,68936
8;43,811882;23,7932682;0,002433063;28,14430
8;45,898571;24,025629;0,063904286;28,07893
8;48,6338348;25,7396793;0,125375509;28,64990
8;42,4523964;25,6676273;1,04174924;28,51536
8;46,8932037;27,0425053;0,881081462;27,71810
8;48,1651421;24,6197758;3,65271473;27,66140
8;46,3856316;24,8223209;0,092283033;27,56801
8;43,1057892;23,3195133;0,025481436;27,76638
8;45,648674;24,0444584;0,4305906;28,05050
8;48,9055519;24,7376041;0,010037825;27,59806
8;47,6291809;24,1852055;0,002153929;27,33376
8;49,8488655;24,7321415;0,526583254;27,58776
8;41,0013161;25,1051579;0,003677995;27,75101
8;41,5765114;26,3430424;0,001199323;27,45935
8;38,4438057;27,6669559;0,01188942;27,56125
8;53,3641167;24,6773624;0,003585774;27,83147
8;44,2973175;27,09231;0,000621977;27,26301
8;39,3767586;28,8188725;0,038853016;26,81298
8;52,0698814;24,3503361;1,99489355;26,74288
8;43,0233459;19,1143436;0,673101783;27,16060
8;50,4412918;19,6751347;22,9375896;27,95298
8;50,3474197;14,4776554;0,973428011;28,47867
9;45,8938065;15,6144962;0,032954536;28,75263
9;42,5752106;18,0490971;0,036129326;28,65275
9;42,4535179;19,3800907;0,45789364;28,72280
9;48,4141006;19,8292179;0,066718645;28,94993
9;52,2606812;16,5760441;0,073983558;28,73904
9;69,6386261;15,6972904;5,11663532;28,27269
9;52,0650787;21,2467289;0,519714773;27,76576
9;58,993824;21,4237309;4,47935295;27,34498
9;53,9249573;20,5717106;7,56916094;26,73130
9;63,3028717;16,9143009;26,7227783;26,85489
9;69,3464432;17,2997684;2,94772291;27,03277
9;53,8776741;19,0169315;3,3924346;27,41163
9;55,0108337;19,2498417;0,488781601;27,80879
9;54,9096146;17,9495792;1,9777;28,16660
9;51,1373596;20,7302494;0,080220409;28,42879
9;49,2026787;21,3715458;0,106982276;28,38761
9;59,8807602;20,4421329;4,72389984;28,08139
9;66,7145081;20,1657963;4,30988884;27,96676
9;59,6108818;18,8862553;51,0510368;27,54248
9;55,1484718;16,3647099;0,00083912;27,16528
9;48,0792389;18,5911503;0,007495186;27,21930
9;56,1164322;18,3041935;0,000610946;28,19929
9;55,2529068;19,3573246;0,002225522;28,86516
9;53,4582596;18,852808;1,68076003;28,42449
9;67,5108795;14,9742069;41,8548889;27,53320
9;73,8484421;14,1522465;15,3566475;27,38987
9;65,6241531;14,9582767;0,150828034;27,49263
9;51,155468;16,5284672;0,316069454;27,87819
9;65,7871094;13,9749393;2,19794202;27,87754
9;56,2536011;14,2412052;1,13913703;27,83380
10;59,334549;13,7273808;0,451368392;27,76727
10;55,1418343;15,4428959;0,07004226;27,71647
10;61,1115685;16,3356571;0,091100551;28,09425
10;60,5098686;16,4958134;0,635902643;28,75564
10;67,4159241;16,2433414;21,6139488;28,77355
10;68,8506927;15,0003605;3,39463615;27,93202
10;52,1748009;13,9643803;0,015929921;28,04762
10;56,9053345;12,4606571;0,009502899;28,58601
10;50,8042259;11,4802799;0,003075878;28,32563
10;53,7722282;12,6434574;0,000705745;28,08274
10;58,2757072;12,6356144;2,60225272;27,45817
10;65,4838562;14,8027897;0,046370119;27,14458
10;68,3886871;14,1443424;4,08341646;26,78881
10;82,938942;10,2189884;6,86318541;26,94802
10;76,2627869;10,9992924;0,425047308;27,22214
10;71,8326721;9,59078407;4,92290211;27,18403
10;69,6547852;11,6404667;3,43964124;27,86310
10;70,592308;12,6998844;1,85758889;28,14012
10;86,2246246;9,77321815;9,73378086;27,54930
10;70,2932968;8,72200966;0,62381351;26,83335
10;46,4337845;9,87661171;0,001840721;26,69866
10;44,2296181;12,8090458;0,002354587;27,31079
10;50,0116043;14,2832584;0,884666979;27,34444
10;63,6920967;11,170496;7,14196444;27,07826
10;49,7006035;16,4779911;47,1105003;26,91705
10;76,2342224;7,69271231;12,5804176;27,18784
10;66,5894852;8,53951454;9,52215099;28,04826
10;57,7277603;11,0522404;0,032110218;28,65513
10;54,6434097;10,9864445;0,023003157;28,66649
10;55,1894417;12,0962467;0,008505359;28,94137
10;60,9229546;13,6960392;0,472205371;28,53479
11;62,4008217;11,749567;2,44269061;28,07411
11;60,1931496;14,0209293;12,1914282;27,35486
11;65,6488342;11,45788;1,45485616;26,90435
11;58,2870865;14,4981022;0,032869935;26,91041
