RelVlaznost;TempZraka;Padavine24;BrzinaVjetraKMh
75,05026;19,06347;8,73766;7,19347
57,51745;23,23852;0,02519;5,55843
52,16408;25,67471;0,00166;5,67944
46,69868;26,15566;5,43833;5,76946
59,46259;21,69036;1,75997;8,24762
52,72300;23,63793;1,09892;7,33116
50,42897;21,32247;10,89429;7,74085
55,90078;20,20825;0,76431;5,11256
47,72492;22,34445;0,00818;6,37281
45,76994;23,25533;0,00229;7,13391
43,81188;23,79327;0,00243;7,95259
45,89857;24,02563;6,13433;7,50017
48,63383;25,73968;0,12538;6,42920
42,45240;25,66763;1,04175;5,72741
46,89320;27,04251;0,88108;7,06944
48,16514;24,61978;3,65271;11,21540
46,38563;24,82232;0,09228;9,12351
43,10579;23,31951;0,02548;5,76863
45,64867;24,04446;0,43059;5,18333
48,90555;24,73760;0,01004;5,90483
47,62918;24,18521;0,00215;6,80976
49,84887;24,73214;0,52658;8,26949
41,00132;25,10516;0,00368;8,17142
41,57651;26,34304;0,00120;5,47563
38,44381;27,66696;0,01189;6,84973
53,36412;24,67736;0,00359;7,35985
44,29732;27,09231;0,00062;5,60392
39,37676;28,81887;0,03885;10,34540
52,06988;24,35034;1,99489;10,25947
43,02335;19,11434;0,67310;9,63213
50,44129;19,67513;22,93759;9,49275
50,34742;14,47766;0,97343;10,04860
45,89381;15,61450;0,03295;11,67815
42,57521;18,04910;0,03613;5,50120
42,45352;19,38009;0,45789;6,40932
48,41410;19,82922;0,06672;7,05974
52,26068;16,57604;0,07398;7,86821
69,63863;15,69729;5,11664;7,11577
52,06508;21,24673;0,51971;7,60575
58,99382;21,42373;4,47935;13,39518
53,92496;20,57171;7,56916;8,59185
63,30287;16,91430;26,72278;7,83331
69,34644;17,29977;2,94772;8,88767
53,87767;19,01693;3,39243;8,12522
55,01083;19,24984;0,48878;6,17803
54,90961;17,94958;1,97770;7,37365
51,13736;20,73025;0,08022;5,88003
49,20268;21,37155;0,10698;7,33072
59,88076;20,44213;4,72390;9,75578
66,71451;20,16580;4,30989;8,10900
59,61088;18,88626;51,05104;9,65199
55,14847;16,36471;0,00084;7,27422
48,07924;18,59115;0,00750;7,15908
56,11643;18,30419;0,00061;8,04303
55,25291;19,35732;0,00223;6,70552
53,45826;18,85281;1,68076;7,20199
67,51088;14,97421;41,85489;11,84526
73,84844;14,15225;15,35665;10,00496
65,62415;14,95828;0,15083;10,35326
51,15547;16,52847;0,31607;6,60416
65,78711;13,97494;2,19794;6,63816
56,25360;14,24121;1,13914;5,34027
59,33455;13,72738;0,45137;4,67512
55,14183;15,44290;0,07004;4,97597
61,11157;16,33566;0,09110;5,59025
60,50987;16,49581;0,63590;9,24330
67,41592;16,24334;21,61395;9,85593
68,85069;15,00036;3,39464;7,13301
52,17480;13,96438;0,01593;8,15061
56,90533;12,46066;9,71518;11,15417
50,80423;11,48028;0,00308;8,38042
53,77223;12,64346;0,00071;5,70683
58,27571;12,63561;2,60225;6,78424
65,48386;14,80279;0,04637;5,31551
68,38869;14,14434;4,08342;6,93680
82,93894;10,21899;6,86319;7,99823
76,26279;10,99929;0,42505;6,99025
71,83267;9,59078;4,92290;5,58690
69,65479;11,64047;3,43964;7,08753
70,59231;12,69988;1,85759;9,54292
86,22462;9,77322;9,73378;10,86984
70,29330;8,72201;0,62381;7,55115
46,43378;9,87661;0,00184;6,73057
44,22962;12,80905;0,00235;5,52554
50,01160;14,28326;0,88467;6,76928
63,69210;11,17050;7,14196;10,94615
49,70060;16,47799;47,11050;9,67431
76,23422;7,69271;12,58042;11,30936
66,58949;8,53951;9,52215;11,31474
57,72776;11,05224;0,03211;8,73570
54,64341;10,98644;0,02300;6,44069
55,18944;12,09625;0,00851;8,39929
60,92295;13,69604;0,47221;11,18899
62,40082;11,74957;2,44269;10,91971
60,19315;14,02093;12,19143;7,42865
65,64883;11,45788;1,45486;6,24982
58,28709;14,49810;0,03287;4,53140
57,70415;14,39947;0,00062;6,48842
48,34867;14,54446;0,00106;7,09525
56,13758;12,74822;3,90930;9,72065
54,08001;10,02026;42,95762;14,59790
79,38891;7,84951;36,54136;12,28356
68,54536;8,82101;34,13408;14,06642
59,14896;10,44995;1,42198;7,39140
53,29491;10,68331;1,09454;9,28217
